23.30	1.00	0.92
23.40	1.00	0.92
23.50	1.00	0.92
23.60	1.00	0.92
23.70	1.00	0.92
23.80	1.00	0.92
23.90	1.00	0.92
24.00	1.00	0.92
24.10	1.00	0.92
24.20	1.00	0.92
24.30	1.00	0.92
24.40	1.00	0.92
24.50	1.00	0.92
24.60	1.00	0.92
24.70	1.00	0.92
24.80	1.00	0.92
24.90	1.00	0.92
25.00	1.00	0.92
25.10	1.00	0.92
25.20	1.00	0.92
25.30	1.00	0.92
25.40	1.00	0.92
25.50	1.00	0.92
25.60	1.00	0.92
25.70	1.00	0.93
25.80	1.00	0.93
25.90	1.00	0.93
26.00	1.00	0.93
26.10	1.00	0.93
26.20	1.00	0.93
26.30	1.00	0.93
26.40	1.00	0.93
26.50	1.00	0.93
26.60	1.00	0.93
26.70	1.00	0.93
26.80	1.00	0.93
26.90	1.00	0.93
27.00	1.00	0.93
27.10	1.00	0.93
27.20	1.00	0.93
27.30	1.00	0.93
27.40	1.00	0.93
27.50	1.00	0.93
27.60	1.00	0.93
27.70	1.00	0.93
27.80	1.00	0.93
27.90	1.00	0.93
28.00	1.00	0.93
28.10	1.00	0.93
28.20	1.00	0.93
28.30	1.00	0.93
28.40	1.00	0.93
28.50	1.00	0.93
28.60	1.00	0.93
28.70	1.00	0.93
28.80	1.00	0.93
28.90	1.00	0.93
29.00	1.00	0.93
29.10	1.00	0.93
29.20	1.00	0.93
29.30	1.00	0.93
29.40	1.00	0.93
29.50	1.00	0.93
29.60	1.00	0.93
29.70	1.00	0.93
29.80	1.00	0.94
29.90	1.00	0.94
