18.1	23.4	20.2	20	2	78	78
13.6	19	15.8	15.8	3	84	86
10.7	17.3	15	15.7	0	76	73
14.3	20.8	18.3	19	0	73	71
12	25	19.5	20.3	0	76	76
16.2	23.9	20.4	20.3	0	79	79
15	25.4	20.9	21.2	0	73	72
14.8	29	22.8	23.6	0	73	73
16.8	29.6	24	24.4	0	76	75
17.7	30.1	24.7	25.3	0	74	71
18	29.4	23.9	24	0	78	80
17.3	27.5	22.6	21.7	0.8	86	91
19.8	27.4	22.7	22.2	0.8	87	90
17.4	25.5	21.7	21.4	18	83	82
12	19.4	13.9	13.6	11	97	96
10.3	12	11.3	11.4	4	91	93
8.6	11.3	10	10.2	0.6	89	90
10	12.9	11.6	12	0	83	81
6.1	21.8	13.4	13.3	0	75	79
6.3	22.1	15.1	15.2	0	69	72
8.2	26	14	13.6	0	77	81
6.6	21	14	14	0	78	83
7	22	14.7	15.1	0	79	86
7.4	23	16.7	17.1	0	72	77
9.1	21.1	15.3	15.5	0	78	81
11.2	20.6	16.6	17.4	0	75	73
13.4	23.7	18.8	18.4	0	71	71
13.3	17.8	16	16.1	0	69	68
7.8	24.2	16.4	16.3	0	73	79
12.2	20.9	17.1	17.5	0	64	62
8.5	22.8	16	16.4	0	71	73
4.6	22.6	15.4	16	0	69	72
7	20.6	14.3	14.5	0	76	81
7.2	25.2	18	19.5	0	69	67
13.4	22.5	17.7	17.7	0	63	58
6.8	22	14.4	13.9	0	75	83
7.3	24.6	17	17.9	0	75	79
10.6	27.8	20.2	21.1	0	74	73
13.1	28.6	21.5	22.9	0	74	73
15.3	21	17.1	17.2	0	74	72
13.6	17.5	15.2	15.2	0	62	59
11.4	15.2	13.5	13.5	0	74	71
8.5	18	14.4	15.4	0	54	47
10.2	17.4	14.4	14.5	0	62	61
10.1	21.7	15.7	15.5	0	64	66
6.4	22.4	15.5	16.4	0	66	67
5.8	26.4	16.9	17.9	0	65	66
10.5	25	18.9	20.3	0	63	57
8.6	24	17	17.2	0	64	66
6.6	25.2	17.1	17.5	0	69	68
6.3	22.7	16.2	16.4	0	67	65
12.4	24.6	19.6	18.9	0	66	62
14.6	26.7	21	21.5	0	67	71
11.2	28.5	20.8	21.5	0	71	67
14.4	29.7	22.4	22.3	0	70	70
13.7	29.8	22.7	22.7	0	67	67
15.5	21.1	18	18.1	0	62	57
11.1	19.1	15.7	16.5	0	56	50
8.9	20.8	14.4	14.4	0	73	74
5.7	20.5	13.7	14.8	0	54	51
2.8	22.7	13.3	14.5	0	62	63
6.4	24.2	15.6	15.9	0	55	49
5.8	19.6	13.3	14.2	0	53	52
4.8	19.2	13	14.1	0	63	62
5.6	22.4	14.6	15.3	0	66	63
